idProvincia,Provincia,Partido,Latitud,Longitud,LatitudR,LongitudR
0,Alava,PNV,42.833333,-2.75,42.845277,-3.005574
1,Albacete,PSOE,38.833333,-2.0,38.60114743739478,-2.2016321715523817
2,Alicante,PSOE,38.5,-0.5,38.50619025540597,-0.2460572200740105
3,Almeria,PSOE,37.166667,-2.333333,37.41741005400964,-2.550053781182631
4,Asturias,PSOE,43.333333,-6.0,43.112834977511866,-6.527587018159164
5,Avila,PP,40.616092,-4.929031,40.44874,-5.176979
6,Badajoz,PSOE,38.666667,-6.1666669999999995,38.20642560342441,-6.632959562880663
7,Barcelona,PSOE,41.45,2.083333,41.68893133305736,1.6445260464335865
8,Burgos,PSOE,42.383333,-3.666667,42.05746923849187,-3.7407691157786425
9,Caceres,PSOE,39.666667,-6.0,39.45338069115457,-6.834393013218842
10,Cadiz,PSOE,36.5,-5.75,36.372686777002286,-6.014643081916168
11,Cantabria,PP,43.333333,-4.0,43.209643,-4.330333
12,Castellon,PSOE,40.166667,-0.166667,39.939008554705744,-0.5226058292646711
13,Ceuta,VOX,35.886666999999996,-5.3,35.892254,-5.343245
14,Ciudad Real,PSOE,39.0,-4.0,38.95038648836313,-4.317843166435424
15,Cordoba,PSOE,38.0,-4.8333330000000005,38.13219232482205,-5.387328089866696
16,Cuenca,PSOE,40.0,-2.0,39.85754610376448,-2.472668261715507
17,Gerona,ERC,42.166667,2.666667,41.977529,2.662964
18,Granada,PSOE,37.25,-3.25,37.42823870693734,-3.2537544003991457
19,Guadalajara,PSOE,40.833333,-2.5,40.97357016574807,-2.9815918561935844
20,Guipuzcoa,PNV,43.166667,-2.166667,43.135215,-2.3143569999999998
21,Huelva,PSOE,37.666667,-7.0,37.7893778689574,-7.137131932826782
22,Huesca,PSOE,42.166667,-0.166667,42.15517307158056,0.10200288672247526
23,Islas Baleares,PSOE,39.5,3.0,39.97614095,3.89582881
24,Jaen,PSOE,38.0,-3.5,37.924023645213325,-4.1884579342789445
25,La Corunya,PP,43.37,-8.4,42.991889,-8.569619
26,La Rioja,PSOE,42.25,-2.5,42.40497591273975,-2.752190948431614
27,Las Palmas,PSOE,28.333333000000003,-14.333332999999998,28.508843,-13.870345
28,Leon,PSOE,42.666667,-6.0,42.539952856163616,-6.169253453849139
29,Lleida,ERC,42.0,1.166667,41.851971,1.271456
30,Lugo,PP,43.0,-7.5,42.615274,-7.5502449999999985
31,Madrid,PSOE,40.425259999999994,-3.69063,40.613692443448116,-4.122506220064935
32,Malaga,PSOE,36.716667,-4.4166669999999995,36.585362323258174,-4.981509319409263
33,Melilla,PP,35.2825,-2.9475,35.27415999999999,-2.946501
34,Murcia,VOX,38.0,-1.833333,37.996021,-1.617167
35,Navarra,NA+,42.816666999999995,-1.65,42.058851000000004,-1.510544
36,Orense,PP,42.166667,-7.5,42.033721,-7.734091999999999
37,Palencia,PP,42.43212800000001,-4.520647,42.260014,-4.507562
38,Pontevedra,PSOE,42.43333300000001,-8.633333,42.62710531686208,-8.723186252733651
39,Salamanca,PP,40.833333,-6.0,40.77568,-5.810215
40,Santa Cruz de Tenerife,PSOE,28.166666999999997,-17.333333,28.06406096281837,-17.22795107559765
41,Segovia,PP,41.166667,-4.0,40.979744000000004,-4.33944
42,Sevilla,PSOE,37.5,-5.5,37.33993038706125,-5.416768604609729
43,Soria,PSOE,41.666667,-2.666667,41.62961761401454,-3.0887782444272074
44,Tarragona,ERC,41.166667,1.0,41.132197999999995,1.002182
45,Teruel,TEX,40.666667,-0.666667,40.509496,-1.0916270000000001
46,Toledo,PSOE,39.833333,-4.0,39.91807007168324,-4.370600503957783
47,Valencia,PSOE,39.333333,-0.833333,39.579147,-0.672616
48,Valladolid,PSOE,41.583333,-4.6666669999999995,41.843452096831186,-5.156063352791931
49,Vizcaya,PNV,43.25,-2.983333,43.230227,-3.1452009999999997
50,Zamora,PP,41.75,-6.0,41.557014,-5.4009800000000014
51,Zaragoza,PSOE,41.583333,-1.0,41.335473585015286,-0.7111888999675732
